Request id,Pickup point,Driver ID,Status,Request timestamp,Time slot,Drop timestamp,Hour
619,Airport,1,Trip Completed,11-07-2016 11:51,Morning,11-07-2016 13:00,11
867,Airport,1,Trip Completed,11-07-2016 17:57,Evening,11-07-2016 18:47,17
1807,City,1,Trip Completed,12-07-2016 09:17,Morning,12-07-2016 09:58,9
2532,Airport,1,Trip Completed,12-07-2016 21:08,Night,12-07-2016 22:03,21
3112,City,1,Trip Completed,13-07-2016 08:33,Morning,13-07-2016 09:25,8
3879,Airport,1,Trip Completed,13-07-2016 21:57,Night,13-07-2016 22:28,21
4270,Airport,1,Trip Completed,14-07-2016 06:15,Morning,14-07-2016 07:13,6
5510,Airport,1,Trip Completed,15-07-2016 05:11,Early Morning,15-07-2016 06:07,5
6248,City,1,Trip Completed,15-07-2016 17:57,Evening,15-07-2016 18:50,17
267,City,2,Trip Completed,11-07-2016 06:46,Morning,11-07-2016 07:25,6
1467,Airport,2,Trip Completed,12-07-2016 05:08,Early Morning,12-07-2016 06:02,5
1983,City,2,Trip Completed,12-07-2016 12:30,Afternoon,12-07-2016 12:57,12
2784,Airport,2,Trip Completed,13-07-2016 04:49,Early Morning,13-07-2016 05:23,4
3075,City,2,Trip Completed,13-07-2016 08:02,Morning,13-07-2016 09:16,8
3379,City,2,Trip Completed,13-07-2016 14:23,Afternoon,13-07-2016 15:35,14
3482,Airport,2,Trip Completed,13-07-2016 17:23,Evening,13-07-2016 18:20,17
4652,City,2,Trip Completed,14-07-2016 12:01,Afternoon,14-07-2016 12:36,12
5335,Airport,2,Trip Completed,14-07-2016 22:24,Night,14-07-2016 23:18,22
535,Airport,3,Trip Completed,11-07-2016 10:00,Morning,11-07-2016 10:31,10
960,Airport,3,Trip Completed,11-07-2016 18:45,Evening,11-07-2016 19:23,18
1934,Airport,3,Trip Completed,12-07-2016 11:17,Morning,12-07-2016 12:23,11
2083,Airport,3,Trip Completed,12-07-2016 15:46,Afternoon,12-07-2016 16:40,15
